words,emotion
بسط فرح فخر انا ليل شفت لفز حب حب يجر بعد ما قفلتو ضفدع,joy
ربي جعل عتب فرح يخش حزن حزن,sadness
شكر حسن عبدالغ علم اتم خبر صح حب حب عزل حفظ ذكر طيب علم ارج حيه سعد بعد كور لان عمر نزل مرح,joy
بلد سرق ولس ناس تخف عسكر جبن,anger
يلد دعء رحم الل عبد وفق الل يدع بعض يلد دعء,joy
فرح انك انك سعد قلب حد تني يخف جذب نبه حب,joy
هدء محب عند بدع تلق حنن تاج تاج نسب وصل الف برك شهد خير طيرو,joy
عنف رهب كم فوه عصب تعد سيغ بير حشش احب سلب تعد ينم عقل ميليشويه جبن قمه حقر,anger
سعد لما تجك دعه حله شخص مو كلم حب الل حرم يرب ناس طيب زكه حب,joy
عمر عم ركض بتل الل هشش قلب درج ان كلم عبر عثر وتب ونص حزن كتم هوء حلق نظر عبر غرب تصب هلع,sadness
يوم الب علم رحل ابق فين حزن سهر جرح طفل وجع يسل رجع ونه,sadness
فرح انك قدم حبه حقق,joy
فرح رمض غمز قول هتعمل ايه يوم رمض فكر ايك عاك مرح,joy
بهج امل كمه ضحك الل قعد اضح مو طبع فطس يرب لحد الل وجه ضحك حب حب حب حب حب حب حب حب,joy
حرف قهو عيد فطر ال عيد لبس جدد وانمالعيد امن وعيدوليس لبس رقق الم عرف طرق عيد برك جزه سعد,joy
غرابيب سود ام سي هالحثاله يعن ايش طلع ثلا قبح الل,anger
نزح جمل فرح طفل بعد خرج مصل صله عيد جهز لام عيد ببه حمه,joy
توج هلل ليل كانت فرح وان سعد ترف ليل ذهب وشج طرب جمل حب سره سعد,joy
ضمن ءلم قلب قبل اخف فرق جعل يمل يسر ابق جنب مدي بعد,fear
بهج امل سعد الل مو طقي الل اعش فقع لون الل وزع بجا قلب يلل شعر فرش خلط وان كتر,joy
فرح قلب مثل في فرح حد بحب اكد,joy
فوب عند من الج خوف بيت لحل تحر ندل كيف قلت جني وقف شعر رسي,fear
ريح دام دال بقتش لكك بقت ملك جمهور دال ديستفورياسيندوم ضحك ضحك ضحك ضحك بهج هيس,joy
حلم مع طلب ضحك سعد وسع صدر,joy
لدم فرق سحم مايروح صرع كاب جهد ظرف غمض فرق حله هلع درب صرح بنه دبر وحد بدل يقل دعي قلق,anger
قلق حسس اني قلق سبع جاي ده حسس صدع فرت ومش عيز ارح متح بكر كوكتيل كءب انم ايه,sadness
مطر دعت مطر اشف بعو حزن حب,joy
بحر قمر هدء ارع خله الل احب ربي ربي جعل قلب رزق انس قرب ولذ نظر الي وجه يحي قيم حب,joy
انا زهق درج اني نفس حد قعد جمب كل شوه ضرب علي قفه اقل نفع كده,sadness
حمر قطع اهي حصر قطع حصر فرق مهم وقف ينم عدء وضغ كين عين عله حسم شكل,anger
وين كنت فجه لل هيب صير فيو عنصر شوق وين كنت,surprise
تمم خين كبر تمم فزع شعب مخل عزت رضي عمم زعل خول ضحك بدل مايصير عون فرع قال نفخ شاريم قال امن رصم,sadness
فرح طرح,joy
قنع حيت صنع فكر سعد انس شقو قلق سكن نبع وحد,joy
علي سبل فرح اليوم عيد يلد عسا بكل عيد يلد معا حزن حزن,joy
مر سنت حين يجي نوب هلع حرق بيت دخل,sadness
هدر يبو ورز سنه ونت طيب دودو بعد ايم فرح وتت وب عيد نغن ضربل سلم ضحك ضحك,joy
تجر قهه جيد اشء الل الل يزد يبر رزق تهل خير دري ليش اشف وسع تجر احس سعد كبر ضحك,joy
احس سعد موب طبع قلت نسس حله لطف الل بحا شعر حب حب حب,joy
رمض كرم يرب خير قبل فرح حرم الل رجي غفر نزل رحم رتح رفع يدي رتج رضو خبط,joy
شتسو وقت عصب اظل سكت الن يجي احد يسل وش فين فجر غضب,anger
يوف سوق جمع لند ورب غضب كل نجم فرق جهر نقل,sadness
احب رفق الي تمل فرح داي يا ربي فرح يدم ربي حفظ حزن حب حب لمو يغن مانحرم يرب,joy
سفز شهد لقء رجل عمل سعد ملياردير يقل ان بدت صفر عمد ودي يقل كذب سرق زور,anger
بهج امل صدق اخت صغر تجب سعد الل هه كيت حب حب حب,joy
بوب عمر باع يا حزن حزن,sadness
فرح روم بنت علم الف ملي برك يا روم ورب ممل خير بذن الل سعد يمك يمل فرح وبر داي يرب حب حب حب عجب,joy
جبر بشا جزر مرض حقد اسد متل قلب نحن جبل بهز ريح واي ريح جاي فوبياباسيل جلط,anger
تخف تسل عشن خيف تكد,fear
فرح انك فرح حد غلب بجد كفي عين فرح سعد فرح تحس انك انس ليك قيم حب,joy
نقم سلط خلص يتر مسو زعج لعب سخف غضب,anger
صيب مصر في شرذم تحد تنح خلع وقع ثور فخ عسكر مره يهد غضب تفك دول فسد حقق قصص عدل,anger
كبس ثور ربع عرب هزم نفس,sadness
رمز تحت ارض ربع قمه فهه صرخ زعج وقف كلم نبي فاظ قذر روع سخر وصل قام صحب تعه امر,anger
حقد بخز وين كمه حقد رعب شعر غضب,anger
سعه جاب يا اعز وفق دين علم ومل يا سعد صحه رزق زوج وذر صلح بار وفر مال,joy
شنو لبس لعد الل ترح شغل تحط ميك اب فـ يوم عيد خير حزن يعن زود عالعالم مانامو حلف تخف ترا عيد مو حفل نكر حزن,anger
رمض في ربع يعن حب خير لنس نت متعرفهمش بهج امل الي كنت اعل درج كانت تخل طير سما فرح,joy
بهج امل اشف حمم حب تجمع يكل ززرع كمه دهش سعد قلب كرو حمم حرم نهم كيت حب حب حب,joy
وجع بجد انك زعل,sadness
رشلو لقا ريك سبب رفز لعب خرج لنص سبب عطء حمس عني ملق زعم ارح بدن رهق بدن نفس,anger
يعن جنب سمح دخل سعد كبر جرع وحد واح ماندخل بقل الا جرع فحو اما عمه زين زيهم وجع,anger
اي ولل ماننجبر لقح جسم حرن وثن الل خلق جهز نعي يفق قدر لقح وجه مرض,anger
خلو نعش حيت عدي وكف نقل خبر كذب صحف ضخم امر حسس انه نهي علم,anger
كفي كذب تحر شي الل نقم نكم دمر علم وظل لقح وبد ناس تمت عدد كبر,anger
مين مجن الي يرح صدر وبء,anger
رءس صين يخف خطر يرس وهن شيء وضح يظن لكل قليلو خبر,anger
وين لقح,anger
لزم شعب تحر امر اصبح سخف,anger
سرح مره,anger
حين خلق جهز نعي وظف انه يقي نعه ليش انت ترح تخذ لقح تحر خطر قتل نفس تبي تقي نعه خذ شيء طبع احس انك تخذ لقح ادر سنه سنت وش صيرل,anger
كثر الي عرف خذو ومت تم اعل ولي نجو فتر الل يكون بعن قال افي عرض قال,anger
خوف ناس عرض صاب كورو لالتخويف ناس نشر رعب صفف دعو فدو نشر سوس صفف ناس الل يهد,anger
اجل اذا نشر كورو زعجو,anger
تري زودتو امه قسم بلل اخت كانت تمو جرع ثني الل,anger
احس عشن ناس نحمدالله نعم عفي ان شاء الل حجر سنه لين طلع عقل,anger
فرض يعن ناس نجح لغش جلس ونس ذكر تعب,anger
وش سلف وش جرع جد طلت مصخ,anger
ولي يخذ مرض فاد الل يشف,anger
رار تلق لقح,anger
ضخم ضخم نفخ نفخ نفخ يكر بعد,anger
الل يلع سيس علم جدد كذب لقح قتل ناس قيروس,anger
ولل افي تحر كورو علم فسد كنا عيش سلم,anger
كذب زوج لقح وال ريض سبب جهل بخر لقح ونا لقح ابد ان شاء الل لقح عبر موت بطء,anger
ولل قلق وذي نكد وضق عذر,anger
هدف خوف ناس يخذ لقح,anger
غرد اخر اي صدق دلل يثب هالكلام,anger
خطت قتل ناس نفس ضعف نعت طرق خوف رعب,anger
ولل سبب رعب قلق,anger
لسل ناقض سرح كورو,anger
ماف ليش روع سلم هه,anger
انا دفع حره اختياراتي صحه مايجوز جبر علج,anger
الل يخذ صين يرب الل نقم,anger
صين سبب وبء حسب الل الم ستر اجل صلح شخص,anger
الل نقم شر نقم,anger
الل يخذ حكم صين لحد جرم,anger
اجل شالفايده نخذ لقح جبر وش فيد ايكف جرع تزد,anger
الل وكل سبب,anger
الل يسد غضب,anger
لقح فشل يبع يشر يضح دقن غبياء اذا ضحك مره اول مره ثني ارح يضح مايطيح مرت الا اخس طير,anger
الل وفق نشر يرس حضرو فرق ظهر حمه سنه امر قلو فرق عبر جثث وتي نقل سفن الل وكل,anger
اسل الل ان يهم كرب طلب,anger
شكر وزر صحه وجه ودل ناس لحي ندي اليوم ربع صبه سبب عيد سبب تها شخص هدا الل تخذ جرء احترازيه,anger
اقل ترا مو حلو,anger
طيب شبب امس جو سبن ماخفتو نهم جيب مرض طول داخلو ناس عزلو قهر دري وش عقل الي روحو يجو خالطو ناس عبر انه يمكن ظرو بلد كمل سبب خفف,anger
ايكف هبل ناس نهي فلم خلص سرق صندوق صحي كفي كذ,anger
حول شوي كنت جلس اقل اعند حله ياء الل وكل اير نشر كورو بلد عرب غضب غضب,anger
يلل اقرف صين قرف قرف قرف هي جبت كورو,anger
الل وكل جبر بخذ لقح,anger
نتم كدب اتو لقح وبء خفو الل عز جل ادا تقل اليه الل وكل,anger
الل وكل قتل ناس جرب سيء حمل سءل لقح سبب جبرو طرق اخر لقح حمي كبر الس كتم وفي ضعف سبب لقح عمر,anger
لقح تسبب تحر هدا شي طبع قفو طعم فشل كفا خوف علم صرف نظر قضا سخف,anger
الل يخذ كورو جد يوم صدم بحد,anger
وش لمح خيس طول سنه وضع وكم فكر قرب رمض,anger
الل يبي ذبح دخل احد حللو دخل,anger
شكل لقح حرم دخل اما,anger
صرح ارر كثر همل كثر وفد عدم حرص غسل الد ولالتعقيم خلط نظف شخص قرب ضرب حسب اتم وزر صحه نشر وعه شدد لهج بعد لهج شكل طوي ورق وزع يفق همل,anger
حمي زكم وكح حين هاي وسم قال كورو تحر ولل كفي خلص نبا نعش عجب,anger
شكل لقح حرم دخل اما غضب,anger
كفي كذب احد صدق كذب خرج فدو فبر علم ديمو راح صدق شي,anger
ولل مرض حقق علم غبي عرب,anger
اشن يبع لقح واح جرب اله الل حمد رسل الل,anger
الل وفق صين تكل اي شي ماك تعد علم,anger
قرب دفع روج لقح قتل شعب قبءل ذلل ثمن بهض طرد ارض سمء,anger
قضء بشر يرس وهم بهو سمم,anger
الل وكل نشر صنع يرس خبر ابد بشر قدر الل خطط خبث ماف دوء فعل شيء جره كسب مول مهم مال حسب روح ناس,anger
الل وكل شرك بحث علم وشر ادي كورو هدا اسم دمر علم,anger
جرم صين حق بشر يجب عقب حمل كفه ضرر نجم الل ومق,anger
اسك اذا اتف علج ليع طبق ايم ولل جهل كرث علج دوء لقح حاج شهر جرب ناج وزع اهو عصه سحر اذا علم كمم اعند,anger
جرع ثلث بوك لبو الي جبك انت اشف يوم اخذ جرع ثني جلس ربع ايم ونا سكر موت قسم احل قسم ان كلم صحح فرض جرع ثلث نحر ترا عاد,anger
رمن خلي اضف كيماو سمد فكه خلق الل فيد كطعام علج يد انس عبث تتر طبع خلق الل,anger
صءح خوف,anger
جرد سوق غلل ناس مرض دفع شرء ادي فالتخويف جرم غلل وضح,anger
سيل علم فيد ايب علج بسط هالوضع,anger
الل يعط عفي مو عرف ان تعف صيبو مره ثني غبء ناس داخال جرب فشل ومم,anger
اعند الا سحب مال نظف جيب انب توكل الح يمو خرع فشل,anger
الل صايرعند شي طبع قتل ام نعه نفس كثر مايحرر علء ناس خلف كرهتو بعش قرفتو تجد اي لقح لقح وحد ان خفو الل,anger
خربط ريط كذب عرض مرض برد الل عرف صدق صنع علج لهذ مرض,anger
قلت انت جهل دين علم وفن حار تجد شيء نءح اجر تهذ بمل تفق جدل امر تدل ضحل فكر اجتماعيه لهث فسد جرذ يعش قذور,anger
انس جهل لبس كمم نقص قدر حمي مرض انس جهل حمق وغب عرف صاب كوفيد لبس كمم جرم شرر يجب حكم وسج سنو,anger
حين يجك وحد احل ريض يقل دوء سبب عقم علماء شغل بحث دوء خلص علم مرض جلس رصف قعد يفت جهل جهل لبس ثوب ذهب,anger
تخذ ونت كلب انت تشف شلل وش حضر انت حمر الي اخذ قاح همج,anger
يحق يوم هددو رور جهه علم صحه ديت… وجع,anger
تم تصل اليوم طقه جنب وتم حجز وعد ذهب قسم بلل تعب عبب علم الا الل شدد صدع رهب سحه خبث طول مرض سعد شكل حمر كفي ربع سفه نصف شعر بلم فضع خرج انف جهه يمن دخل جهه يسر الم صدع وجع سطع كمل صيم يوم فطر شده الم صدع الل شكل جزر,anger
شعب مو هتم وبء سهز امر خلي بيت وجع وجع,anger
شسلف يوم حال شكل برا ملك طيب ليه خلو يجن يخي شكل يوم عدد يزد تعب نفس يوم طلع ناس جدد,anger
ولل عظم ناس ماتعرف حجر ولاتتقيد علم وزر صحه يخص امر هذل الل اخر حظر رسل هتر يا اخو دول دفع لير رجل امن فطر شرع عشن صحت ونت هتر ماتجلس بيت غلب حرم يخذ عيل يسر جير حره تيج خاف الل سمع واستجيبو ومر دول قدم الد مكن عشن نبق بخر وصح سلم عاونو جلس بيت,anger
غبياء يرح جمع وبر ارك بسق خضر خيف بطن جوع مهب خيف كورو قعدو بيت جعل ريح,anger
صرل سبع ريض كورو كتر تعب فصل حسس كسر الل نقم الل سبب نشر يرس,anger
وجع,anger
سجل نظم جدا صعب حول طلع روح ونا حول رنمج علق يقل خطا ونا يوم حول تكد انه صح وجب صدق دخل خلص تعب يوم حول ناس امع جول ولن دخل,anger
علق ترد ضبط علم علم ممك طلب منا نصح لمذ وقع ارب اخر جمع ملك عقل تقد صوب حمل تءج خير ونت,anger
بدع رءع نصر وقل للي قدو قنه سلسل نصر ليه فرج هه,anger
ناس همج حرق جثث كمايفعل هندوس,anger
علق درس نبي لكل خيف وده راح قعد بيت اهل بعد شيت,anger
يجب فرض اشد عقب صبن قصد عسكر سبب نشر وبء شكل تعمد,anger
ملي حضر سعه بيت دوم فرض خبر رفع حضر اذا رفع عدد وفي سبب كرو حضر ثني,anger
صح نوم بدر وزر علم نزل قرر يوم خبر صبح الل,anger
بدء رجع حضر خلص زهق يوم شلل سبب دوم عدم حمس جده ولد درس حضر علم شي سبب بيء كان,anger
الي علق كذب انت علم عرف الش علم طلب مو شي خبر يحل قرب تسب انت حصه جلس تقر خلص درس حضر اهم شي,anger
ضاع اليوم جمع طرق يبد سعه الي خلو حضر صبح خلص,anger
بقي سبع ناس اهي عرف حضر وهذا خطا حمل وزر قام اول,anger
الي عرف ضغط ضغط خبر علم عشن قهر زيد درس حضر,anger
وتو بغض حسد علم رحه او حضر,anger
عام ناس يتر برا ملك طلب درس حضر كشفو سعد بطل وحد عرق عمل هاشتاق شتق درس ترا وضع شعر عنه نقم قتل حسن,anger
الي علق لزم ويب درس حضر انت وش حرق رزك انت طفل انت علم علق وزر صحه او علم وش تبي انت ضبط حسد شي قوه الا بلل عظم,anger
الي سوي لسف يقل عيل ارح حضر حضر خله لزم احترازءت يخذ لقح ايج شي بذن الل اذا صدر قرر غصب خله دوم حضر حقق انس تمش قرر خشم,anger
شفت صدت طلع علم فشل ابي قرر عشن تبي سفر رحت دوم حضر تخذ بدل نقل ايش سنت ماداوم درس نهي زمن دلع,anger
ليش للف دور درس حضر علم علم لزم يخذ لقح جبر وظف قطع خاص حكم عسكر يوم دوم يعن درس درس راس ريش مايداوم حضر,anger
نصه ثقل نتر نت تعب طلب علم دهش,anger
ناس يتر خرج ملك طلب درس حضر قبح الل قسم بلل وجب خبر وحد سعد طلعو عرق اسم هاشتاق شتق درس ترا كشفو شبب حشب طلع رفض,anger
نتم صدق تره شوف الي يبي حضر تره ورع ورع يبي طقع كيف الي يبي حضر تره طفل علي ‏تر ‏اطفال توسط ‏مع تحي وزر علم حزن,anger
دحن ناس كتر جحو كدا ونا تعب وجب تني درس ولي نيم طول ترم نجح قهر الف,anger
الل وكل انب حنا فصل قدم علم فهم بنف علم حنا عيل كبر و درس وبت غرف درس وجع نشء الل قدرو ضرف ناس خلو درج فصل اول يلع ديك حمد قبل ربي قلع وجه تبن,anger
فهم نتو طيب انا رضي درس علمو ساذ قلز لغه عرب وجع وجع فهم شي انا اول توسط يعن اجد لغه انجليزيه طلق حزن حزن,anger
ركتو درس يكون احس ولل راح زحم يكون درس خصص خبر يعن بكر زحم شرع خلط حدث عدم حرم نظم رور قلق يري رجع درس عطو يوم جزه كثر ملل وتت تيت متل ارح اجت ههہ ه˛ ضحك,anger
علم حضر دمج علم كلم فضي حصص فني صدر علم غرف ءسس علم عمد نت جول وتج وحد دره لسف جهز جهز صدر علم واد خير بعد قيم,anger
يعن ادا افكر احن طلب كرو ابء الي يزن مو تمم خيلو يعط ولد يوم صرف حرف قرر مو حلو ماد دين نفس شي رجعو حضر قلن ثلث ترم فرر رره سكن,anger
كوم الي يبن حمدلل انه حضر عشن عدل ملء انت ويه,anger
نهي خلو حضر نهت جءح,anger
شفن علم جيح كرو سنه حضر فصل,anger
يخذ حس يخي ترم هذي ليش يشش ليش اهذ علم حضر يخذ نفس خرب قرر,anger
كفو انب حضر يعع غضب نبه احس حزن,anger
ابغ نبغ حضر,anger
نبغ عدد نبي حضر حلو خلص هو,anger
شكل يقل شعب تحمس يبي حضر جلط رجل وزر بدت يجز وهه نكد قرر لاو خله يعن لزم احد يمت بعد نحط ترا كرو تطر,anger
انبغ حضر يا يلل غضب,anger
الل وكل وزر علم غضب احن كورو تخل حضر,anger
الل يخذ انبغ حضر نبي,anger
خير حضر زيد ترم انب حضر علم ارح نفس دمغ ترم هذي غوه احد وفق قرر غضب غضب,anger
الل وفق انت وزر علم عشن اخر سنه حضر ركب,anger
يخي حنا ماح درس حضر اذا نبي درس درس بدن جعع راس,anger
ربب حضر لان بطر جلي عدم كلم يوم وحد مدت دقق رضو عيو عبو قوه ركز جول نهي افهم شي ضحك,anger
خرب بيت حضر دوم سنه كمل يجز ابع اقل شي خلي ولد نجح رجع حضر يرب كتب رجو عود درس رهم خلص,anger
ولل نرن حرم يعن فكر لكل غنياء لزم رعو شءن قرء شذا اكد قدر حفظ صحت سلم دام عقل صغر وش فيد علم تكف خلا حضر نبي عصب عصب,anger
وين كلم يكون جبر دحن تخذ كنك سجن درس طعم ايش فيي ايش وضع حره شخص نقض رهيبب كلم ليش امس مو جبر طعم ويم جبر بلف ودر قدر دخل اي كان الا طعم اسم جبر يعن يا نعش بسج بيت يا نرح لقح بزر عمر ليش يخذ لقح ترا فتر نمو دخل ركب كمياء جسم,anger
ليش حفل غنء فتح بعد حفل عرس غلق نقض عجب,anger
ترا جننتو يوم قرر دام دعه شهر خلو حضر يخي افي شتر جهز حقه نصه شتر قضي درس ولل هلك,anger
الل وكل عشن يبي بنت ترح درس افكر كبر الس الي بيت عمر فوق عيل مايختلط با احد زرع ولا بيت بدت كرو عشن جدن وال نضح بلش درس,anger
صبت ندر فهم سول بشر نقل عدي يصب اجب تعلم بوع درس,anger
يعن جرب لقح علق زعج زعج زعج زعج زعج زعج زعج زعج زعج زعج زعج زعج زعج زعج زعج زعج زعج زعج,disgust
شكل بغو تحر طعم,disgust
حبي طرق قنع قدم ضحك ضحك ارح اخد لقح احط كمم حمي الل اصل كرو لعب خرج ءمر الل ارح ينس الل عملو,disgust
كانت وحد صرت ثنت حين ثلث بكر ربع خمس ابد ومو جبر فجه غصب خذو عطل حيت نتم صدر حري بشر جبر کل شوي طلع صدر جدد لقح,disgust
وش نقض يقل ان لقح ماتفيد مرض,disgust
سلل كذب هه تحر كذب هه,disgust
تحر فطر اسد هه,disgust
تحر وذ نكه هه,disgust
ادا قمت بخد جرع حقح تحل الي مغنطيس,disgust
لقح عمر تكنولوجي خطر قتل علق حكم بهو يا رءساء عرب يا شعب علم,disgust
كلم فضي تم طعم لين شخص اصل ملا ازل وفي اصب خفض,disgust
وش يرس الل ذبح جرع جرع صمت,disgust
مو شغل ذبحتو جرع ونو كملو,disgust
حتج جرع ليا سنت عيش حمدلل جرع اخذ ماشاءالله فكو جرع نبغ سفر لقح قرف,disgust
تري هزل شقيتو جرب لقح اهي مرض صده… نمو عدي اعد جرب تري ندر انه ثلث مو اخر شي ددرر عبب لقح,disgust
يا اخي زعجتو خلص زمو زمو طفش ونا لبس كمم كني لبس نقب حرم ليش ماتقول لقح,disgust
يا ملي تزم تزم تزم كثر سنه تزم اهي عيش,disgust
حين الل لعب وقل ان مرض طاع اسد يخي انفلونزا غثت امن,disgust
تري طفش هاللقاح اعد بخذ لقح,disgust
اما ذبحتو جرع,disgust
ليش دمر زيد لقح خلص طفح كيل هالتجارب فشل ضره,disgust
ماسالف الا لقح خلص يكف خلو نعش حيت طبع,disgust
ذبحتو لقح فكو سلم نعت خلق الل احس قوم,disgust
خلاص فكو وكل لقح هلكتو وضع,disgust
شكل سلف طول طلع حفر طحن ضحضير خلص وقف رعب ذا نفس تعب سنت دخل ثلث رحم ناس,disgust
شفي غلق نفس,disgust
هزل صبح يرس صدر صدر دخل دول صدر حدث نظم,disgust
اسف فات عرس برك لكل يرس,disgust
