words,emotion
سعد وعد سعد علك حبب صحب يرب,joy
نوم ال لسا اكد لكل نام وصف وحد يا قعد عم اكم ربع سقف,sadness
عيد سعد بام بلد وضح وابتسامه امي وجد اخت وصح سعد عءل قرب قرب صدق,joy
يضق خنق وظف ايرق يقص اوفرتايم جزه جنب بدل سعد ويب خطط تصر خمس نجم عنا وظف خطط وشر,sadness
ارد رحه بال صلح حال بهج خطر وطمانينيه قلب سعد نفس شرح صدر ونس روح عيش كتب الل,joy
خبر حزن بهي خير نفس خيب امل تفك الل صلح حال يهد جمع قطع علق مع قطر,sadness
ربن نقم الل سبب الل احن ده,sadness
بعد عده امر روس ليش امر ربع يخف اير جنن اير قدر نوج قدر حمل تطر هولجهل,anger
تغر شيء نقض نقض ضفض غصه,sadness
حدث فرط وبع رضي صره تسع مصر لثب لكه شري عار لحق قدم في دنا اخر,sadness
وكان حد يقل رمض احل بيك,sadness
الف الف برك فرح يا كنز ولل تصر فرح علش تعل الن خطب مهم عرف انك يدي امن ربي يهن,joy
سءل حشش شنو فرق هبل رعب قال هبل انك دلدغ وحد ميت رعب ميت يضح,joy
ومح حمس تعل حدد زرقاو رهب جرم ملع دن نتم عبد صهي شعر,anger
يعن كلم شنر ايش شيء الل نتج رعب خوف قتل صاص دمء كهف زبز غرق لدم,fear
نظر جمل ابتسامتك سعد قلب بخل بسم بسم سعد سعد جمل فءل ثقه نفس,joy
انا شخص ولل طهر قلب رجع احب حيه شخص يغن شي شخص سرق حزن يمل فرح شخص كلم وخف وحن تمل امن,joy
نظر سبب تفه عشن تبك اسي,sadness
دمع حنن ذكر عزء قلب ذكر صدق وفاءوموده جمع,sadness
مطر الل لهم رحم غفر عتق نير وحس ختم يرب علم,joy
دعي عالمحط نصر زعج محط ال خصه نهم عم تجر وجع ناس دعي سمج,anger
بلد الل يخل عدو ربط شكل كره ارض درج لطم نهر صبح لشك بلد عظم فوب سعد,joy
ولل انه بصم عار جبن امه عرب يقل ان اهل لسط رهب وخص حمس تخف سلط الل يهد جرم,anger
اشد سجن حيه قسه فكر بءس يسج مرء دخل صحب يتر و فلورزللسبت,sadness
سءل شفع يكون سوء الظ بلل قال وسس خوف دءم حدث صيب رقب زول نعم سوء الظ رحم رحم,fear
يا علم يهو بطل رسءل رخم دي احب عرف اني نصر دقت صلب كمن ملع شكل شعر ـنفاذ صبر,anger
جرم قتل سفر امر كبس قطر يمكن غطه شمس غربال,anger
جمهور رشلو وعي محب عشق فرق ودع هزم ومس يضع نجد صفق هتف لخر جمهور,joy
ضيع اخي يدي رجف تضع كفن قبل رسم جبن قرء ردد اذن لا يمك نسي يا ابي,sadness
فرح فيك غير كبر فرح هنو خرج,joy
خوف نعد كره خذل اول جدد جدد وجع فرق ونا ولل اقي,sadness
ربي صحب بهج قلب فرح بال ربي سلك جنه طمء ورض عيش يحب امن,joy
دا تخف حسد,fear
ثور كمل ياس خين لسه اخك جوه زنز,sadness
ترك رحه لهل احب وضح عمر جبل وحش حفظ امن بلد سحق دعه ورب تهل كثر وضح احب,joy
سنه ونت طيب بسط واي حد وقع اني اقل شخص سنه طيب سنه طيب فعل حب كتر فرح خدا قلب,joy
كلمو كلو اقدر نظر حزن اقدر سمع بصح ولل دمع قرب,sadness
ليه تحب تخف,anger
علم الل اني صدق ودي دخل بهج سرر قلب وحد بلغ الل فضل نتم تحب بتم صحه عفي,joy
ارا وضح يا ترك كرستيانو يبك حسر ندم خسر اليوم,sadness
يرب سعد قلب ضءق شرح بشر وبالافراح يمن بيد قلب خذن سعد نجح دعه مني,joy
ربح مع ببه عطر سعد رسل مكن فرح خلق بيم فرح عرف مين صحب هالرساله,joy
بسم بعض يرن حزن فرح,joy
عيد وظف ا غلب علو سني حنه شوي علو سني,sadness
تمك عمق نقط فين قلب شلت واع حزن كبه طير زرع قلب حزن تمع عين,sadness
خيف خيف ايه ولل ده انا رعب,fear
يا حزن ليه سكن لمح حته مني حزن وسك يبق كلم وضح شيل همي,sadness
يري عرف قيم كوس وان هنحضر ده رهب مش رغب وكف عقد كله حيه بقي,anger
عرف امس لسا حفظ فكر خلص كره وعد اني تغر فشل اول خبر حبط,sadness
روح خدت كفا بتع كله هرد نصر صغر,joy
بسم بسم داء صنع يوم فضل فءل امل زعم تويترفلورز رمض,joy
وصل تقل نصل ضحكو شعر نفذ صبر,sadness
انا كثر شي شطر صبر جمع غضب طوب طوب لين تصر عمر نهد راس قدم لحد تجر يقل ليش,anger
سعد وظف في بلغ سعد وظف مدي قرب بيت عمل عكس,joy
شغل فكر شوش برد يخف غضب فعل عرك لشر خير فين يثر تخذ قرر,sadness
ونه ليل دمع سهر وجع قلب كسر يا حزن يا وجد,sadness
يا تري كام وحد مست اتش كلاسيكو هرد شعر حمس,joy
كل بوه لزم عرف ترا نظر انو انت مره واو عكس نضر الا بنك ريض نفس نظر عطف شفق الل يهد بوي من حقن نعش,sadness
سيس نجح يخش جمع او فءه تمل اي سلط او قوه جمع الا اذا سيس فشل يخش ان نفس حمر سلط,anger
قله نوم سبل عذب مش عرف ايه قلق دا,sadness
همم فرق حبب,sadness
بسط حقق اني طلب انك تسك لان اذن تبي سمع سمج يا اخي,anger
فجء بصت تصل عشن اسج تعب تعب علي اقل لو قلت وشل حلك وقل طيب اني بخر قرب سلم دعم شيماء,sadness
حكم عدم صدر م بحق شعب جنب برم اما وتر خرب خلي رجع بيت بعد نتف هه,anger
ضيق صدر ايم ولل عظم غصه حلق دري وش اسي بها لو بغت اخف حني عصر قدم وين اخف دمع حزن,sadness
يضح احس الل ضحك قلب,joy
انا وزب طلع شغل شور كلو ربن ستر رجع سلم زوب اخر اشر دعا غلي خيف احط صور حسد,joy
اني خيف ذكر اني حزن ضحا,sadness
اذن فرض تخذ قسه كلم زعل بعد شبق اقل عشن وعب لكل تعض حزن,sadness
شعر فرط فكر كان ارد فجر باك صحب بكء ضحك هستير قرر اهد لعد فرط اخر فكر,sadness
قلت اسا بوس مش صعب بوس اثن اول سهل ثلث غبي رفز تحر يدن سعر,anger
خلص نهر عم حول ضبط عصب تعب,sadness
احن مش نقص وطن خله هرب زي فار ذعر,anger
ناس فوب دخل علق بحب يعش وحد ديل كتر ناس وجع وبق حمل جرح تني,sadness
روع ورد جور,joy
دعش تتب شي فجر سطو قال حنا يبن يقل ناس حنا كان كذب خوف ناس,anger
اجد ضطر برر دفع خطه يقم حزب عرض نقد انس فعل قلب طيب خبثاء قفل تسر اذا شي,anger
جد انت تغر تغريداتك قلت ستو فكه خفض شي ايش ضاق ونا خوك شد حزم,sadness
الي الن اشرب قهه امل رجع ان افي شغل شقه مكن نوم,sadness
لهم حمدلل ترض حمد اذا رضت حمد رضي بقي خرج خطه يرب يسر فرح نجح,joy
عشق مطر برد الل خلط دمع دفء نجا دعء غصه حب لله رجء عفه لطف لهم انك عفو تحب عفو فعف,joy
ونت بخر صدق الل سعد ان شاء الل بيك هالعيد يمه لنه فرح بسط وهد بال,joy
رجف قلب خفق شك لكن صلح,sadness
انا ريض ناس فزو,sadness
غضب خلق بشر غضب شدد سبب جهل للن,anger
قال علي افم زين سوء عمل فرء حسن الل يضل يشء يهد يشء ايه رعب لهم جعل نهم,fear
يا جمع انا مش بسط ان خلص جمع كدا لقت ناس دفع كلم بيقولولي هتوحش الل هو كدا خلص فعل,sadness
حزن يا صحب حزن تشل لهم قسم انا تبك عاك ابك لحل,sadness
همت فعل عصه ذكر قل اخف عصت ربي عذب يوم عظم,fear
حمه عصء ظهر دخل سجن حمه ركز خاف قحم عصب اسد سجن سور,sadness
شعب كتر بقي كسل بقو لمو حجب ايه زي عمل دلق ظبط كدا,joy
لا جبن حمل قذو يبق ماخدناش قرف,anger
ولل ارض نتم كمن خفو شوي,sadness
انت اشف رعب هلع امر تمم يبن بحل يرث لها,sadness
تري يا انس صير حيو,anger
زد سحه حسن الظ برب زدد سعد حيت رحه فءل,joy
احا قسه نقد نفس نبع خيب امل,sadness
ضحا سلم فعل سلم تري نكر خرج وزر دخل يقل انه ختل عقل نسف زعج دهس مصل في لند,sadness
زعج صله روح ده ناس تبق لهه في فرج سلسل سسا,anger
ابغ خير اجر ويم تصر صدق,joy
بلد ولع ناس بيم حشر وفض وحل ذعر عام جحش صحب غرد اهو حزن الا خسر رعي شحن,sadness
فرح انك ترض ربن تشف سعد ناس الل تحب حقق حلم,joy
وش هالاعب الي قلل رقم وضح نهم جيب خبز سيد لعب,anger
سلسل كءب اوي وعد يفل بءس كبه دخل يفل نحر مش عوز كمل كتر كبه الل,sadness
الل وحز بكء الي عرض وجع فقد كتب كفر ذنب شده بلء رزق رحه طمن ورد,sadness
وصل نقط لزا ان بعد يمض منا طرق خلف ءذي بدي نهي سيك ريح طرف دمع,sadness
شعب رتع صبر,sadness
غرابيب سود سلسل جسد صور دعش خيس بغض رعب دعش دخل جمع فضح دعش اهو سنه ليش زعل ذهب سني وضح ونق,anger
ابد ماتوقع شي جمل,joy
شوي وخا جلس دمج تبع طلع فار وها خذل صرخ ولل يا قلب جون,joy
بيه حمل فرق صبر اقس قمت اتم اجل مكن يسي,sadness
انا اذم بنت باب حرش لني متع رفز ناس,joy
ليه زعلتو وحد يسل جاوبو همو مكن جهل تعلم تصل الا جهل فلش ففه اهت حلق جوب ناس,sadness
يرب تمل فرح كثر غيم الل ملت دنا مطر,joy
حتج اغر جو او لعب تنس او عمل اي حجه جدد خرج جو محن ده,sadness
يدو رجل الل اسم شرف بتع زومب ده بهج اوي تحس ناس الل عاه بسط اوي رقص وسق,joy
همش نسء تضق استفززاز فرض راه تسق بدي خرع سير غبياء قرفو حمد بن سلم جمع جهز قيد,anger
هجم سيق دبب علي عيل سنب امن وضح شي وضع صحب سير دعس خوي غضب كسرو قزز سير,anger
فكر ان بنت شتم او تقل كلم مش كوس بحج فكر قزز وضع ده نشر وبق قرف,anger
صرل يوم دشه بحل وتر ضحك,fear
اخف موت خوف درج اشك اني ضعف ايم احا خوف لني اكر فكر علق تخف الل يمت شخص سسي بحا,fear
ودي فهم وش تبن قلب عطت بعو ليت برح فدت عجز فهم ليش جفا وين وفا وين كلم الل نور قلب نطف لحب خذل,sadness
اول شي سعد محد يتح دول تقد تقد فهم,anger
كنتش تخل قرب حد ليا مكن يذي اذي نفس دا بجد,sadness
كفي حبط وبص لنص كوب فضي علش لنص تني كسر,sadness
لهم بحق اذن فجر فك كءب,fear
ودي انا قرب ودي انا بحض,joy
يوم حمدلل نعم نوم رخء رحه نسي نعم امت جمل خلص وصل علم,joy
سلم انا ذار اول ركم عنه مو نزل ستم شنو شكل شكر,anger
سعد الل وقت اذه رنا شخص الي يخف طير ثلا او حيو عين عبر رهب حدد ضطراب هلع فوب,fear
رحل جدد الل حيت كفل انه تخل كءب خمستاشر سنه,sadness
هدء تجد حلل شكل هدء شكل حل حلل امل سعد حيه رحه,joy
وضع سنه ثغر مو حد يمل يعن عمم شكل خوف ناس شي موصحيح ايف امن,anger
يقل زهر سبب رهب حجب سبب حرش اذن سبب ضوضاء صله كبر صوت زعج اخر يبق سالش ليه ربن غضب,sadness
رحب رمب بدل حزم زير قبل لير افه شكل فلس وسخ دنا تكف طلب جب بنت ولل انه ثقه ثقه شقراء,disgust
اسم دوم لطف ليت ستك طفف هيل حيت لهه,joy
احي عمل حقق انس حول متع بسط خوف كذب متع شهد وجه تعرق اخر اقل,joy
اثر لعب الكترونيه في دمر وهب طفل قتل ذكء لغي طفل حدث احد يكون نطي,anger
خيب امل كبر تلح افق,sadness
وجع هيء سءل ليه تعد ونت نيت تغب,sadness
جرب شءت سلح امه راس يقد رءساء غبياء جيش جبن سلح تلو نظر طرق لحق,anger
سعد رءح تفح شرك حبب فرح بسط وجه تهلل ارر نعش سعد سرر لجل شعر ثمر نفع احب,joy
ريض ضطراب هلع خاف وجد عقب عضي عرض شعر خلف خاف عرض يعن نوب هلع,fear
خلك بهج,joy
شكل قسم بلد عزز كرم راه صرخ حضر سجد سلم كرم راه,anger
هالاعراض سخن دخل خفق قلب ثقل راس قلق خوف عصب مسك رجف الد رجل ضعف جسم اكل متز ضغط لدم,fear
حلم حلم رعب رعب شيء مكن اشف بحا يرب الل ستر حلم غلب حقق,fear
شي دخل بعد ظلم وحد حتجل انت قذي,sadness
انا عرف ان شيل واد يخل وهج بهج كده كنت شلت ولل,joy
حول ان نزع كومبيوتر توتر نشي وتر تصب هستير نعت خدر,anger
شكل غير رقم عشا خيف اني تصل ايدر انا اذا نهي اكد حذف رقم اتر سءل ليه هالخوف,anger
شخص قدر حسس شعر ضيق وجع يخذ حيز شعر علش مره محد تهل,sadness
جزك الل خير اتم لان يوم قرر جدد خوف اني قيل شغل كمل درس رجعو سبب سخف,fear
سعد قطر عين برس شاء شاء وبي ابي بعض غرد سعد خلف شعل فتن اقل لا خير كفي شركم,anger
سيء ان حمل همم نسب عمر فرض انك جمل ايم حيت,sadness
حنق سيد حكم حزن حلم دغدغ نجم تضح علم,sadness
يرب بدل حزن الي فرح غفر لبي ونر رقد,sadness
حجم تمر عنا وجه علم ان ضرب نجح ادم قلل صبر تصل,sadness
الل ده انت تغظ بقا اشي كلو نجح سءل تخض شوه,disgust
سطو غاز حين وصل,anger
بكي صدق وسه قف ممه حجب رءه بشر يره كسر خير,sadness
اكف شر فجع فقد عظم خبر صبر رحل شخص عزز قلب,sadness
انا صري وفر يا حسر شو الل جبر عالمر امر,sadness
اخذ حبت نوم دحن احس قلب حيطلع قوه خفق,sadness
يجز وجد بسم تني تلا هون سمي گوج يجز امر هيك اسم الف صحت كلي,joy
ءشر خطر وصل لحل عدم كرث او خوف امن قان عدء كرن علي رجل امن,sadness
سيء ناس الل حبو حبت فقط وغر هيك تحل لكر وتم شر غدر صحب,sadness
يلل زعل خصم ومش عيز تني كلم يلا دهي,sadness
يقل تكد يجب ان خبر او يجب ان يكون جاد او ضحك فصل دمه قلق شيء,fear
حفظ لسن ليا طال جدل سفز يعم غضب تقم ترم فعل وتج ذقن ولا شنب,anger
ربي اخف موت اخف عذب قبر وحش ربي جعل قبر فرق دنا جمل سكن غفو رزق دعو ملل,fear
لهم جعل دمع دمع فرح دمع ندم حسر,joy
ترك درس سبب ضاق الل يخذ اشف عطف,sadness
الل يجر وجع قلب الل فجه,sadness
انا اصل سخط علح مكن نزل عدي,anger
كوس انن لسه حفظ زكر شوه حاج بهج كفل انه سعد تكر ولل,joy
انت مسك ذهب دكتور علج مرض ايرانفوب,anger
انا دكتور زي بهج كده فين كنا خدن هدء اي زرق ريح دام,joy
انا الي اكر حبو,anger
وجد شخص غرف ونا مو زعج,anger
احل فكه ضحك,joy
هدء يا مدريديستا ال بذن الل تحف وتر عصب شي طبع,fear
بطل نغم دي يا هبل ارض عرض صان ويا اكل جسد قضه فلسطينيه قول كلم ده لحر سمح احس,sadness
كثر احس ان قلب يعر شيء كثر ودي اقل بسس مو قدر اعند كلم وصف درج ان دمع نزل وجع قلب,sadness
الف تحه رءس بطل حتج مثل الحالي الل سمح مصر ولاهذاحديثورضده فرط,sadness
عقل قلب ديم همم سعد امه عام يعد عيد جدد سعد عسا عده,joy
عدت كان رغب هرب حسس خوف رهب شوق خلط حسر قرب زالزل دعم,sadness
حلت زي علم عجب تكون لحل جمل لا عرف ليش وجد وين جمل غرب عجب نهد حيه,sadness
عام نتم بلف خير عده الل خير يمن برك عيد سعد فرح,joy
شعر حزن اذا كنت تضح وفج ذكر تسك بوح حزن فرق خين حب,sadness
اهو لقر ده سبب ترم تلت,anger
اليوم علم سعد خير سعد ضيع يوم خاص صبح سعد,joy
كثر رنمج رعب نسب ليا كنه رعب الل عشق حشر يصر خصص عنكب,fear
حب عظم كتب عزل لحز,sadness
ءكد درس روفسور جمع نسء شكر زوج يكن سعد يعش عمر اطل سعد زوج,joy
يوم عبر انب ضمر لول قدر غلب عذر عني مب قنع لهل كمه ال خخر,fear
قدر وحد يكون بسط فاءل قدر حصل يهو حجه عكر يهو مازاجو خرب عليهو اي حجه حبط,sadness
جرد شعر سقر مرد فضح,sadness
شهد نشه نعم جدد انس حسس ربن حيء يقل يا انت كرم يا رب ربن عيز داي تحس شعر ده رسل من الل,joy
هاظ شيخ تبع سلب رهب الل عنا تبع سلب رغب,anger
دمع شري قصت حزن حمد لله جمع الل اهل انا ابك الا دود ولل,sadness
ده لوش علق يكم انا كده كده هبهدل كءب,sadness
حجز ندق صور عجب وقع اقل غفر ربي,anger
عرف ايم لح عبو انو سور كرم تسو علم كلو ومن بحج شفق حدا يا طيب نتو صدم,sadness
هه شوف طءر عمل خبط في ربك رحمو نفق كذب بقي,anger
سوق هالفتر هش خلك بعد نطر حل ازم شي توقع ايم قدم وزن كسر غلب سهم اعط شره سلب ولل علم,sadness
الل يجر بشر الل هيء قرف يمش ارض,anger
غزو بيت جدد ضحك وصت حتل شبر نقم حفل عيد قتل شبح تءم بك,joy
الل داء يتف حد تلو حد تعد سنه سنه امس خبر اليوم خبر يرب تكون اخر احز يرب مره,sadness
جبت حزن كبه وكم رقص تقت,sadness
ابو عبدو جوه سبح او جكز نفر شمع وسق هدي,joy
انا حزن اخف حزن ونت دري ان غيب اول سبب قرب شهد دعم,sadness
اتم برء حمد من ناس حرم فعل مش بلغ فجء ان الل قتل سيس الل عدي ده سيس لطج فرج عن طبب,sadness
عرف انت وقف بتع دوخ دي الل تخل تشف دنا سود لمد ثني لـ دقق ده ذار موت بكر,sadness
عرفش ايه علق حزن بنت كسر انه تقص شعر وله قص شعر ربط كءب نسب يهم مهو هيطلع تني مقصناش ودن يعن,sadness
عرف حلك تخف ليش تشف فلم رعب تصر صرخ طول ليل بنم يا اخت تزم حدد عدي وحد يخف مو بطل تشف خفي بعد,anger
عبس صمت خطر كبر عرق يرن ظلم ظلم بطل فسد لزم سكت الي اين عرق خير,sadness
دخل ريض دخل صنعاء ربش زحم زعج عجل دحبش سعد سلم الل شرق,anger
صعب شعر تكون جمع وصل مسج تسب تضح تصف بدك بلع ضحك,joy
