words,emotion
* أحساس مرعب * أن تقف أمام الغرفة الزجاجية تنظر إلى عزيز يتوسد جراحه تحصي دقات قلبه وتنتظر قرار الحياة به إما بداية تمنحك فرح,sadness
#حيوية_الربيع على طول خلك ماشي 🏃,joy
#براءه_ساحره_الرياض \nلا يشيخ اسألك ب الله انت ووجهك براءه وين ب العقل هي قالت راح اتوب والهلع الي جاها في الموقف اكبر دليل ع انها ساحره😷🔕🚶,anger
#قطع_كهرباء_الرويس_جريمه2 #حي_الرويس ما سيحدث من قطع الكهرباء ستعيد الحي للعصر الحجري ناهيك عن ذعر الاطفال والعجائز وسؤ حالة المرضى,anger
#كلمه_لرجل_امن_الحرم جزاهم الله كل الخير هم فخر لهذا الوطن اسأل الله لهم التوفيق وسعاده و الراحه وأن يرزقهم 💚 💚,joy
#عرفت_ان اذا رجعت الصغير لحجمه يرجع لك مثل الحقير 😠,sadness
#لا راحة تعادل راحة ⁧ #صلاة_الفجر ⁩ #رضا داخلي و انشراح صدري لا مثيل له اللهم أعنا على قيامها دوما,joy
#حمله_التبرع_بكيس_حلاو_لقطر أهلنا في قطر ليسوا بحاجتنا ولو احتاجونا لناصفناهم أموالنا ولا عزاء للحاقدين من الخليج ومن خارجه,anger
#عيديتك_مع_رغد_محمد٣ رغغدد ابيي افووزز الله يسعدكك دنيا واخره الله يخليكك فوزيني اتمنى افوز بجلسة ليزر جسم كامل 😭 💔,joy
#لليله_القدر_وعلاماتها الطمأنينة أي طمأنينة القلب وانشراح الصدر من المؤمن فإنه يجد راحة وطمأنينة وانشراح صدر في تلك الليلة,joy
...\nالسكوت عمره ما كان علامة رضا السكوت نفاذ صبر ووجع بس انتو اللي مبتحسوش...💔\n\n....,sadness
#ايه_الي_هيحصل_لو\nمرتضي منصور مات 😃,joy
١٤/ غضبي صار سكوت و هذا شيء جديد في شخصيتي,sadness
#سيلفي حلقة اليوم منرفزة طريقة كلام الحريم جابت لي القلق 😟 ودي اكسر التلفزيون 😑,anger
احس متوتره مو عارفه اسولف اعتذر,fear
#قل_لغالي_كلمه_تعايده_فيها گ نقاءآلمطرهي الولدة هي فرحتي ابتسامتهآ سعآدۿ وفرحتي تكتمل بوجودهاالي تمليني فرح دايماياعسى ربي يخليهاويحفضها,joy
#امي يا شمعة حياتي ونبض #روحي #ضفتيلي جرح مع زحمة #جروحي,sadness
#بشوفگ حته #من_الجنه بشوفگ #ضحكه_وسط_دموع😍        \nكأنگ بنتي من ضلعي وحبگ #عشق_مش_ممنوع ✋💓.\n#TU,joy
#العيد #بهجة #فرح مسجد الصديق كل سنة والأمة كلها بخير ♥,joy
#تسريب_سفير_الإمارات\nليست تسريبات بل هي مواقف معلنة و مشرفة من #الامارات ترفع الرأس و الامارات ليست من الخونة الذين يقولون عكس مايفعلون🇦🇪,anger
#الفرحه_انك تكون مذاكر جزء من المنهج وتلاقى الامتحان جاى فى الجزء ده بس ..,joy
#عيديتك_مع_رغد_محمد٥ \n اتمنى  اي مبلغ مادي منك ابغى اشتري لماما عيدية وافرحها بليز☹️☹️😢,joy
#فوبيا_النخاريب ياربي تموتني شكل الدوائر القريبه من بعض تنرفزني لدرجه ابكي عادي يجيني الي ودي اشلعها شلاع 🚶 🏽 💔,sadness
#مبسوط 😊 وفخور #انا الليلة #شفت نفسي في #التلفزيون 😍 😍 🏃 #بعد-ما-قفلتو 🐸,joy
#ربي لا تجعلني #اعتب 😊 على من لا #يخشى #حزني 😞 ✋,sadness
#شكرا_حسين_عبدالغني ك عالميه اتمنى الخبر صح 💛 💜 ف اعتزالك يحفظ ذكرى طيبه لك مع العاالمي ارجوا لك حياه سعيده بعيدآ عن الكوره لان عمرك ف نزول 🌺,joy
#بلدك_بتتسرق ولسه الناس بتخاف من عسكر جبان,anger
#ميلاد_الدعاء15 من رحمة الله بالعباد أن يوفق الله بعضهم أن يدعوا ))لبعض #ميلاد_الدعاء15,joy
#الفرحة_انك\nانك تسعد قلب حد تاني بيخاف عليك👉❤,joy
#اهداء من #المحب_العنيد ⚶ ⚶ للمبدعه والمتالقه #حنين 👑 👑 بمناسبة#وصولها ☽#50k☾ 🐥 🐥 الف مبروك شاهدين لكي بالخير طيروها,joy
#عنف #ترهيب #كم_الأفواه #عصابات #تعدي لا أستسيغ #بيار_الحشاش و لا أحب اسلوبه لكن #التعدي عليه ينم عن #عقلية_ميليشوية #جبانة_قمة_بالحقارة,anger
#سعادة\n\nلما تجيك دعوة حلوة من شخص من زمان مو مكلمه❤️ الله لا يحرمني يارب من الناس الطيبة الزكية ❤️,joy
#العمر_عم_يركض ويبتليك الله بهشاشة قلب لدرجة ان كلمة عابره تبعثرك وتبكيك ونص حزين يكتم الهواء بحلقك ونظرة عابره من غريب تصيبك بالهلع,sadness
#يوم_الاب_العالمي رحلت ومابقى فيني سوى حزن وسهر وجروح وطفل من الوجع يسأل متى يرجع ونهنى به,sadness
#الفرحه_انك تقدم محبة حقيقية,joy
#فرحة_رمضان   😉\n\nقولنا هتعمل ايه أول يوم رمضان 🤔\n\nالمايك معاك 🤗,joy
#بهجة_أمل \n١١٨.كمية الضحك اللي قاعدة اضحكه مو طبيعي \nفطست ياربي ..للحد اللي وجهي صار حار 😅\n💕💕💕💕💕💕💕💕,joy
#حروف_وقهوة #عيد_الفطر ليس ال #عيد من لبس #الجديد وأنماالعيد من امن الوعيدوليس لمن لبس الرقيق انمالمن عرف #الطريق #عيد_مبارك #اجازة #سعيدة,joy
#غرابيب_سود ام بي سي هالحثاله يعني ايش بيطلع منها مثلاااااا ؟؟؟؟ قبحهم الله,anger
#نزوح وليس أجمل من فرحة طفل بعيد خرج المصلون من صلاة العيد ونحن جاهزون لاستلام العيديات #بوابة_حماة,joy
#تتويج_الهلال ليلة كانت فرح والوان من السعاده والترف ليلة ذهب وشجن وطرب وجمال 💙 🎵 #ساره_سعد,joy
#ضمني إليك حين يؤلمني قلبي قبلني حين #أخاف أن تفارقني إجعلني أنا فقط من يملك أيسرك أبقا بجانبي إلى المدى البعيد,fear
#بهجة_أمل ١ عن السعادة اللي مو منطقية اللي أعيشها عن الفقاعات الملونة اللي تتوزع بجوا قلبي ياالله و شعور الفراشة المختلطة بألوان مرة كتير,joy
#فرحه_قلبك_تتمثل_في فرحة حد بحبه اكيد,joy
#فوبيا_عندك_من الجن في خوف من البيت لحالي لو يتحرك منديل من الكيف قلت جني ووقف شعر راسي 👹,fear
"#ريح_المدام \nداليا مبقتش ملكك ..بقت ملك جمهورها""\n داليا عندها ديستفورياسيندوم ""\n😂😂😂😂\n#بهجت\n@AkramHosny \nتهيييس",joy
#حلمك_مع_طلبات ضحك سعادة وسعة صدر,joy
#بالدم_فريق_السحمان_مايروح مصرع الكابتن جهاد في ظروف غامضة الفريق في حالة هلع و المدرب يصرح بانة دبر واحد بدالة ويقول لا داعي للقلق,anger
#قلق\nحاسس انى قلقان من الأسبوع الجاى ده\nوحاسس بصداع مفرتكنى\nومش عايز اروح امتحان بكره\nوكوكتيل اكتئاب انما ايه,sadness
#مطر دعيت لك تحت المطر م أشوف بعيونك حزن ❤️,joy
#بحر #قمر #هدوء ليس هناك اروع من الخلوة مع الله #أحبك ربي ربي لاتجعل في قلبي سواك وارزقني الانس بقربك ولذة النظر الى وجهك ياحي ياقيوم ❤️,joy
#انا #زهقان #لدرجه #اني #نفسي #حد #يقعد جمبي و #كل #شويه #اضربه #علي #قفاه و #اقوله #ينفع #كده !,sadness
#ياحمار_مقاطعه_ماهي_حصار مقاطعة أم حصار لا فرق المهم هو موقف ينم عن عداء وضغينة تجاه كيان معين العلة هي الحاسمة وليس الشكل,anger
#وين_كنتي تحول فجأة لل #الهيبة صاير فيو عنصر التشويق #وين_كنتي,surprise
#تميم_الخيانه_الكبري تميم مستفزع بشعبه ومخلي عزوته مرضي عمامه ومزعل خوله 🤣 بدال مايصير عون صار فرعون قال انفخ شاريم قال مامن برصم,sadness
#فرحة وطرحة #,joy
#قناعة حياتك من صنع أفكارك سعادة الإنسان أو شقاوته أو قلقه أو سكينته تنبع من نفسه وحدها ☕,joy
#على #سبيل #الفرحة #اليوم #عيد #ميلادها\n#عساني #بكل #عيد #ميلاد #معاها 😪💔,joy
١٣- مر سنتين وللحين يجيني نوبات هلع من بعد ما احترق البيت وأنا داخله,sadness
#هدير_وبيبو_وفولورز_HBD كل سنه وانتي طيبه يادودو وبعوده الايام تفرحي وتتهني وب عيدك نغني ونضربلك سلام 😂 😂,joy
#متجر_قهوه_مجيد\nماشاء الله \nالله يزيدك ويبارك لك في رزقك\nتستاهل كل خير...\n\nمدري ليش كل م اشوفك تتوسع بتجارتك آحس بسعاده كبيره 😀,joy
احس بسعادة موب طبيعيه لما قلت لناسس الحلوه اللطيفه اللي بحياتي شعوري تجاههم❤️❤️❤️.,joy
#رمضان_كريم يارب شهر الخير اقبل بالافراح لا تحرم اللي يرتجي منك غفران انزل علينا رحمة منك نرتاح نرفع يدينا نرتجي منك رضوان #لخبطة,joy
#شتسوي_وقت_العصبية                      أظل ساكتة الين ما يجي احد ويسألني وش فيني و انفجر عليه 😤,anger
#اليوفي صار سوق الجمعه لاندية اوروبا😡\nكل نجوم الفريق تحت مجهر الانتقالات,sadness
أحب رفقتك الي تمليني فرح دايما يا عسى ربي بالفرح يديمك ربي يحفظك 😢 💜 ❤️ يسلموو ياغناتي ماانحرم منك يارب,joy
#يستفزني عندما أشاهد لقاء لرجل أعمال سعودي (ملياردير) ويقول: ان بدأت من الصفر واعتمدت على نفسي ودي يقول لنا كم كذب وكم سرق وكم زور وكم,anger
#بهجة_أمل ٤٧ صديقة أختي الصغيرة تجيب السعادة و الله هه كيوت 💕 💕 🙈,joy
#بواب_العماره_باعها يا حزن الحزن,sadness
#فرحة_روما_بنت_المعلمين ألف مليون مبروك يا رووما وربنا يتمملكم ع خير بإذن الله ويسعد أيامك ويملاها فرح وبركة دايما يارب 😍 😍 ❤ 😻 ✋,joy
#جبران_باشا_الجزار مرضكم وحقدكم اسود متل قلوبكم ...نحن جبل ما بهزنا ريح واي ريح ؟؟؟جايي من #فوبياباسيل انجلطوا,anger
#بتخاف تسأل عشان خايف تتأكد,fear
#الفرحه_انك تفرح حد غلبان بجد كفاية عيون الفرحة والسعادة لما يفرح بتحس انك انسان ليك قيمة ❤,joy
#انتقام_السلاطين خلااص حتى في تويتر مسويين ازعاج بلعبتكم السخيفة 😤,anger
#مصيبة_مصر_في التشرذم فاتحدوا تنحى المخلوع فوقعت الثورة في فخ العسكر هذه المرة لن يهدأ الغضب حتى تفكك دولة الفساد ويتحقق القصاص العادل,anger
#كابوس ثورات الربيع العربي والهزيمة النفسية,sadness
#رامز_تحت_الارض تربع على #قمة التفاهة #صراخ وازعاج بلاتوقف #كلمات نابية ألفاظ قذرة وترويع #سخرية وصلت لمقام #الصحابة ما #المتعة في الأمر,anger
#حقد بخزي من وين كمية الحقد المرعبة على بعض - يشعر بالغضب,anger
#ساعه_استجابه يا رب أعزني ووفقني في ديني وعلمي ومالي يا رب أمد لي السعادة والصحة وارزقني زوجة وذرية صالحين بارين ووفرة في المال,joy
#شنو_بتلبس_بلعيد\nاللي تروح المشغل تحط ميك اب فـ يوم العيد نعم !؟ خير !؟🙁\nيعني زود عالعالم مانامو حالفه تخوفينهم !!\nترا عيد مو حفلة تنكرية 🙁,anger
#رمضان_في_رابعة يعني حب الخير لناس نت متعرفهمش بس البهجه والامل الي كنت في اعلي درجاته كانت بتخلينا طايرين في السما من الفرحه,joy
#بهجة_أمل ٤٦ لما اشوف الحمام 😍 و هم متجمعين يأكلون ززرعوا كمية دهشة و سعادة بقلبي فكروني بحمام الحرم انهم كيووت 😍 😍 💕,joy
#الوجع بجد انك زعلان ع نفسك,sadness
#برشلونه_ملقا انريكي سبب نرفزة لاعبيه وخروجهم عن النص سبب اعطاء الحماس والمعنويات لملقا يزعم بإراحتهم بدنيا فيرهقهم بدنيا ونفسيا,anger
يعني الاجانب مسموح لهم يدخلون السعوديه بكبرها بجرعة وحده واحنا ماندخل بقالة الا بجرعتين افتحو لنا الاماكن العامة زينا زيهم وجع,anger
اي والله ماننجبر علي اللقاح جسمنا حرين فيه وثانيا الله خلق لنا جهاز مناعي يفوق قدرة اللقاح في مواجهه المرض,anger
خلونا نعيش حياتنا عادية وكفانا من نقل الاخبار الكاذبة، الصحافة هي التي تضخم الامور وتحسسنا انها نهاية العالم,anger
كافي كذب. لا متحور ولا شي. الله ينتقم منكم. دمرتوا العالم وظلت تلقح وبدت الناس تموت باعداد كبيره,anger
مين المجنون الي يروح لمصدر الوباء,anger
رئيس الصين يخفي خطر الفيروس في وهان شيء واضح يظن الكل قليلو الخبره,anger
وين لقاحكم,anger
لازم الشعوب تتحرك الامر اصبح سخيف,anger
المسرحية مستمرة,anger
الحين ﷲ سبحانه خلقنا جهاز المناعي وظيفته انه يقوي المناعه ليش انت تروح تاخذ لقاح متحور خطير وتقتل نفسك،،، تبي تقوي المناعه خذ أشياء طبيعيه احسن من انك تاخذ لقاح ماتدري بعد سنه سنتين وش بيصيرلك!!!!,anger
ي كثر الي اعرفهم اخذوه وماتوا ولا تم الإعلان عنهم والي نجو بعد فترة الله يكون بعونهم قال مافي اعراض قال✋,anger
لا لتخويف الناس ليس كل من لديه هذه الأعراض مصاب بكورونا لالتخويف الناس ونشر الرعب في صفوفهم دعونا من هذه الفديوهات لنشر الوساوس في صفوف الناس الله يهديكم,anger
اجل اذا انتشر كورونا لاتزعجونا,anger
تري زودتو امها اقسم بالله!!! اختي كانت بتموت بعد الجرعه الثانية! حسبي الله عليكم,anger
احسن. عشان الناس نحمدالله ع النعمه والعافيه. ان شاء الله حجر سنه لين تطلع عقولهم,anger
لمفروض كلهم عن بعد يعني ناس تنجح من الغش وهم جالسين وناس تذاكر وتتعب !!؟؟؟,anger
وش السالفه وش جرعته بعد من جد طالت ومصخت,anger
والي ياخذها ومرض ولا استفاد ؟ الله يشفيكم,anger
الإستمرار في تلقى اللقاحات !!,anger
تضخيم تضخيم نفخ نفخ نفخ بااوميكرون. وبعدين!!,anger
الله يلعن السياسة العالمية الجديدة ، كلها كذب واللقاح هو من يقتل الناس وليس القيروس,anger
والله مافي متحور وكورونا غير الاعلام الفاسد كنا من غيركم عايشين بسلام,anger
بلا كذب زوجي تلقح والان مريض والسبب مجهول كان بخير قبل اللقاح وانا لن اتلقح ابدا ان شاء الله اللقاح عبارة عن موت بطيء,anger
واللي أقلقتهم وآذيتهم ونكدت عليهم وضيقت عليهم كيف تعتذر؟,anger
الهدف منها تخويف الناس حتى ياخذون اللقاح,anger
تغريدة اخرى ليس فيها اي مصداقية ولا دليل يثبت هالكلام,anger
خطتهم هي قتل الناس نفسيا واضعاف مناعتهم عن طريق التخويف والترعيب,anger
والله أنتم مسبب الرعب والقلق,anger
سلسلة من المتناقضات في مسرحية كورونا,anger
ماافهم ليش ترويع المسلم؟ةةة,anger
انا ادافع عن حرية اختياراتي الصحيه مايجوز اجبر على علاج,anger
الله ياخذ الصين يارب الله ينتقم منهم,anger
الصين هي السبب في هذا الوباء احسبنا الله فيهم الم من تستروا من اجل المصلحه الشخصيه,anger
الله ينتقم منهم شر انتقام,anger
الله ياخذ حكومه الصين الملحده المجرمه,anger
اجل شالفايده نأخذ اللقاح! واجباري بعد وش فايدته مايكفي الجرعتين بتزودون,anger
حسبنا الله ونعم الوكيل. في من كان السبب.,anger
الله يسد نفسكم😡,anger
لقاحاتهم فاشله يبعون ويشرون فيها ويضحكون ع الدقون والأغبياء إذاا ضحكوا علي المرة الاولى والمرة الثانية ماراح يضحكوا علينا مايطيح مرتين الا أخس الطيور,anger
الله لا يوفقهم هم من نشروا الفيروسات وأحضروها إلى افريقيا مثلما ظهرت الحمة في سنة 1918 في امريكيا ونقلوها إلى افريقيا عبر جثث موتى ونقلها في سفن حسبنا الله ونعم الوكيل .,anger
اسأل الله ان يهمه ويكرب عليه مثل ما سوى بالطلاب,anger
شكراً وزير الصحه حيث وجهت ودليت ولكن الناس لاحياة لمن تنادي؟؟ اليوم الرابع لي من الإصابه بسبب العيد وبسبب تهاون بعض الأشخاص هداهم الله في اتخاذ الاجرآءت الاحترازيه,anger
اقول عاد ترا مو حلاو هو,anger
طيب فيه شباب امس جو من اسبانيا ماخفتو انهم جايبين المرض معهم على طول يداخلو مع الناس ولا انعزلو عنهم مقهوره منهم مدري وش عقولهم الي يروحو ويجو ويخالطو الناس ولا معبرين انه يمكن يظرو بلد بالكامل بسبب استخفافهم,anger
مايكفي استهبال على الناس نهاية الفلم متى خلاص سرقتوا الصندوق الصحي كفاية كذ,anger
ي حوووول قبل شوي كنت جالسه اقول ماعندنا ولا حالة 😖 حسبنا الله ونعم الوكيل على ايران نشرت كورونا للبلدان العربيه😡😡,anger
ياالله مَاَقرف الصين🇨🇳🇨🇳🤮🤮🤮 هِيَ جابت الكورونا,anger
حسبي الله ونعم الوكيل ع من اجبرنا باخذ اللقاح,anger
انتم كادبون هم ماتو باللقاح و ليس من الوباء خافو من الله عز و جل مادا ستقولون اليه حسبي الله و نعم الوكيل,anger
حسبنا الله ونعم الوكيل. يقتلون الناس بتجاربهم السيئة ويحملون المسؤولية للذين لم يتلقحوا بأنهم السبب ليجبروهم بطريقة أخرى على أخذ اللقاح من أجل حماية الكبار في السن. ويتكتمون على الوفيات والمضاعفات بسبب اللقاح بين كل الأعمار,anger
اللقاح هو المتسبب في التحورات و هادا شي طبيعي جدا أوقفو التطعيم الفاشل و كفاكم تخويفا للعالم و صرف نظرهم عن قضايا أهم من هذه السخافة,anger
الله ياخذ كورونا جد !! كل يوم تصدمني بأحد,anger
وش ذا التلميحات الخايسه! طول السنه الوضع فله توكم تفكرون على قرب رمضان!!,anger
حسبي الله عليك يبي يذبحنا ذا كيف يدخلون احد بدون ما يحللونه قبل ما يدخل !!!,anger
المشكله أنه نحن غير الملقحين محرومين من الدخول لكل الآماكن,anger
بصراحه اررى كثير من الأهمال من قبل الكثير من الوافدين وعدم حرصهم على غسيل اليد ولاالتعقيم والمخالطة والنظافه الشخصيه وقربهم لبعض ولاضاربين حساب . اتمنى من وزارة الصحة نشر توعية شديدة اللهجه بعدة لهجات على شكل مطويات ورقيه وتوزيعها لهم لعلهم يفيقون من اهمالهم,anger
حمى و زكام وكحة ، الحين هاي الموسمية قالوا عنها كورونا و متحور بعد ، والله اكتفينا خلاص نبا نعيش 👎🏻,anger
المشكله أنه نحن غير الملقحين محرومين من الدخول لكل الآماكن 😡,anger
كافي كذب بعد ماحدا راح يصدق كذبكم حتى لو تخرجتوا فديوهات مفبركة العالم ديموت فيها مراح نصدق شي,anger
والله المرض الحقيقي هو الاعلام الغبي مثل العربية,anger
بس اشان يبيعون لقاحاتهم واحنا تجاربهم. لا إله إلا الله محمد رسول الله,anger
الله لايوفق الصين بتاكل اي شي ماكان وبتعدي العالم,anger
قريبا سيدفع كل من روج لهذا اللقاح لقتل الشعوب والقبائل وإذلالها ثمنا باهضا جدا جدا سنطاردهم علي ارض وتحت كل سماء,anger
القضاء علي البشر وليس علي الفيروس الوهمي انتبهو من سمومهم,anger
حسبنا الله ونعم الوكيل في من ينشر ويصنع هذه الفيروسات في المخابر لإبادة البشر لكن قدرة الله فوق خططهم الخبيثة مافيا الدواء تفعل كل شيء للتجارة ولكسب الأموال المهم المال ولو على حساب ارواح الناس,anger
حسبي الله ونعم الوكيل علي شركات البحث العلمي وشركات الأدوية كورونا هدا اسمة دمار العالم,anger
لقد اجرمت الصين في حق البشرية ويجب معاقبتها وتحميلها كافة الاضرار الناجمة عليهم الله ومقته,anger
أسكت اذا ماتفهم العلاج لايعني سيطبق بعد ايام والله الجهل كارثة العلاج أو الدواء أو اللقاح يحتاج أشهر أو أكثر لتجربتة ثم الانتاج ثم التوزيع ماهو عصاة سحرية= اذا العالم كمامات ماعندها,anger
